Name,Qualification,Years_Of_Experience,Speciality_of_doctor,Location,dp_score,npv,consultation_fee
Dr. Raman  Sandhu,"BDS, MDS - Prosthodontics",9 Years Experience Overall,Dentist,"Andheri West, Mumbai",98%,(52 votes),₹500
Dr. Parul Kohli,BDS,15 Years Experience Overall,Dentist,"Gujranwala Town, Delhi",100%,(121 votes),₹500
Dr. Pallavi K. Pathak,BDS,18 Years Experience Overall,Dentist,"Warje, Pune",0,0,₹300
Dr. Ashu Gupta,BDS,26 Years Experience Overall  (25 years as specialist),Dentist,"Munirka, Delhi",94%,(48 votes),₹1000
Dr. Swapnil Gupta,BDS,14 Years Experience Overall  (13 years as specialist),Dentist,"Alaknanda, Delhi",97%,(551 votes),₹300
Dr. Vignesh Vikram,"BDS, MDS - Periodontics",13 Years Experience Overall  (8 years as specialist),Dentist,"Chromepet, Chennai",100%,(45 votes),₹200
Dr. Nysha Garg,"MDS - Prosthodontics, BDS",14 Years Experience Overall  (12 years as specialist),Dentist,"Goregaon East, Mumbai",98%,(66 votes),₹500
Dr. Teja Shirish,BDS,6 Years Experience Overall,Dentist,"Ghatkopar East, Mumbai",0,0,0
Dr. Sai Kiranmai,BDS,9 Years Experience Overall,Dentist,"LB Nagar, Hyderabad",100%,(16 votes),₹200
Dr. Rajesh Kumar,"BDS, MDS - Orthodontics",28 Years Experience Overall  (22 years as specialist),Dentist,"Mylapore, Chennai",99%,(533 votes),₹400
Dr. Kanika Gupta,BDS,10 Years Experience Overall,Dentist,"Tolichowki, Hyderabad",100%,(87 votes),₹300
Dr. Anuj Valecha,BDS,21 Years Experience Overall,Dentist,"Rohini, Delhi",100%,(86 votes),₹500
Dr. Wishi Parihar,BDS,11 Years Experience Overall,Dentist,"Mira Road, Mumbai",100%,(24 votes),₹200
Dr. Sourabh Nagpal,"BDS, MDS - Prosthodontics, Fellowship and Diplomate in Implantology from ICOI (USA), PGDE (Cosmetic & Esthetic Dentist)",17 Years Experience Overall,Dentist,"Vasant Vihar, Delhi",99%,(1649 votes),₹500
Dr. D Arunachalam,"BDS, MDS, DICOI",34 Years Experience Overall,Dentist,"Adyar, Chennai",98%,(622 votes),₹500
Dr. Sonali P. Vanmali,BDS,22 Years Experience Overall,Dentist,"Kandivali East, Mumbai",0,0,₹200
Dr. Anjali Deswal,BDS,2 Years Experience Overall,Dentist,"Rohini Sector 16, Delhi",0,0,₹200
Dr. Prachi Shah,BDS,11 Years Experience Overall  (10 years as specialist),Dentist,"Khar West, Mumbai",100%,(27 votes),₹500
Dr. Rohit Yadav,"BDS, MDS - Oral & Maxillofacial Surgery",10 Years Experience Overall,Dentist,"Dwarka Sector 23, Delhi",100%,(119 votes),₹300
Dr. Senthil Kumaran,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",15 Years Experience Overall  (10 years as specialist),Dentist,"Adambakkam, Chennai",99%,(123 votes),₹150
Dr. Animesh Agarwal,"BDS, MDS - Orthodontics",16 Years Experience Overall  (12 years as specialist),Dentist,"Kingsway Camp, Delhi",99%,(2394 votes),₹200
Dr. Sivavenkata Malati Nalli,"MDS - Conservative Dentistry & Endodontics, BDS",15 Years Experience Overall,Dentist,"Kondapur, Hyderabad",97%,(39 votes),₹300
Dr. Prafull Sabadra,BDS,26 Years Experience Overall,Dentist,"Colaba, Mumbai",99%,(317 votes),₹1000
Dr. Rashmi Naik Mhatre,BDS,18 Years Experience Overall,Dentist,"Dahisar West, Mumbai",95%,(170 votes),₹400
Dr. Mayuri Raje,BDS,6 Years Experience Overall,Dentist,"Mulund East, Mumbai",0,0,0
Dr. Sravanthi Y,MDS - Conservative Dentistry & Endodontics,12 Years Experience Overall,Dentist,"Kondapur, Hyderabad",100%,(18 votes),₹500
Dr. Subhashini,"BDS, MDS",10 Years Experience Overall,Dentist,"Electronics City, Bangalore",93%,(45 votes),₹400
Dr. Priyanka Mehta,MDS - Conservative Dentistry & Endodontics,3 Years Experience Overall,Dentist,"Electronics City, Bangalore",100%,(32 votes),₹350
Dr. Gunita Singh,BDS,24 Years Experience Overall,Dentist,"Anand Niketan, Delhi",94%,(17 votes),₹500
Dr. Supriya N,BDS,8 Years Experience Overall,Dentist,"Wakad, Pune",0,0,₹200
Dr. Neeraja Raju,"BDS, MDS - Paedodontics And Preventive Dentistry",28 Years Experience Overall,Dentist,"BTM Layout, Bangalore",98%,(1010 votes),₹250
Dr. Anoop Chowdary,"BDS, MDS - Prosthodontist And Crown Bridge",13 Years Experience Overall,Dentist,"Chanda Nagar, Hyderabad",96%,(28 votes),₹400
Dr. M R Anulekha,BDS,7 Years Experience Overall,Dentist,"Medavakkam, Chennai",100%,(44 votes),₹200
Dr. Ketan Lone,BDS,8 Years Experience Overall,Dentist,"Lohegaon, Pune",0,0,₹200
Dr. M. Suresh,BDS,10 Years Experience Overall,Dentist,"Perumbakkam, Chennai",99%,(520 votes),₹100
Dr. K Prabhuvani,BDS,19 Years Experience Overall  (18 years as specialist),Dentist,"Tarnaka, Hyderabad",96%,(77 votes),₹300
Dr. Janak Raj Sabharwal,"BDS, MDS - Oral & Maxillofacial Surgery",41 Years Experience Overall,Dentist,"Vikas Puri, Delhi",96%,(368 votes),₹1000
Dr. Sumana Kar,"MDS - Prosthodontist And Crown Bridge, BDS",12 Years Experience Overall,Dentist,"Marol, Mumbai",100%,(69 votes),₹500
Dr. Shankar S,"BDS, MDS - Conservative Dentistry & Endodontics",9 Years Experience Overall,Dentist,"Sanjay Nagar, Bangalore",95%,(40 votes),₹300
Dr. Sujata Surana,"BDS, MDS - Oral Medicine and Radiology",13 Years Experience Overall  (11 years as specialist),Dentist,"Kandivali East, Mumbai",0,0,₹500
Dr. Vinay Anvekar,"BDS, MDS - Oral & Maxillofacial Surgery",19 Years Experience Overall  (18 years as specialist),Dentist,"BTM Layout 1st Stage, Bangalore",97%,(289 votes),₹200
Dr. Shilpa Nalge,"BDS, MDS - Periodontics",17 Years Experience Overall  (5 years as specialist),Dentist,"Vishrantwadi, Pune",0,0,₹300
Dr. Aravind Shetty,"MDS - Periodontology and Oral Implantology, BDS",28 Years Experience Overall  (24 years as specialist),Dentist,"Kalina, Mumbai",100%,(77 votes),₹400
Dr. Vikita Jain,BDS,8 Years Experience Overall,Dentist,"Kemps Corner, Mumbai",0,0,₹300
Dr. Amruta Kolte Chaudhary,BDS,10 Years Experience Overall,Dentist,"Balewadi, Pune",100%,(45 votes),₹200
Dr. Sudhakara Reddy,"BDS, MDS - Oral & Maxillofacial Surgery, FICOI, DICOI",18 Years Experience Overall,Dentist,"Sahakaranagar, Bangalore",98%,(303 votes),₹500
Dr. K.V.Pratheep,"BDS, MDS - Prosthodontist And Crown Bridge",15 Years Experience Overall  (14 years as specialist),Dentist,"Mogappair West, Chennai",0,0,₹400
Dr. V. Ravinder,"BDS, MDS - Orthodontics, MOrth, Certificate of Oral Implantology",23 Years Experience Overall  (22 years as specialist),Dentist,"Whitefield, Bangalore",99%,(2062 votes),₹600
Dr. Manogna,BDS,9 Years Experience Overall,Dentist,"Kondapur, Hyderabad",98%,(61 votes),₹300
Dr. Shilpa Shashikiran,BDS,24 Years Experience Overall,Dentist,"Sadashivanagar, Bangalore",99%,(678 votes),₹500
Dr. Sreedhar Reddy Pothula,MDS - Oral & Maxillofacial Surgery,16 Years Experience Overall,Dentist,"BTM Layout 2nd Stage, Bangalore",100%,(36 votes),0
Dr. Ahmed Syed Mubashir,MDS - Prosthodontist And Crown Bridge,7 Years Experience Overall,Dentist,"Lakdikapul, Hyderabad",0,0,₹300
Dr. Pooja Shetty,BDS,3 Years Experience Overall,Dentist,"Whitefield, Bangalore",100%,(30 votes),₹300
Dr. Christine Samantha,"BDS, MDS - Orthodontics",14 Years Experience Overall  (9 years as specialist),Dentist,"Kolathur, Chennai",0,0,₹100
Dr. Srishti Parekh,"MDS - Periodontology and Oral Implantology, BDS",10 Years Experience Overall  (4 years as specialist),Dentist,"Walkeshwar, Mumbai",100%,(17 votes),₹500
Dr. Nakul Parasharami,"BDS, MDS - Oral & Maxillofacial Surgery",10 Years Experience Overall,Dentist,"Baner, Pune",0,0,₹300
Dr. Anamika Gupta,BDS,19 Years Experience Overall,Dentist,"Pimple Saudagar, Pune",94%,(581 votes),₹400
Dr. Manish Sharma,"BDS, MDS - Prosthodontist And Crown Bridge, Fellowship in Oral implantlogy",24 Years Experience Overall,Dentist,"Kailash Colony, Delhi",98%,(132 votes),₹1000
Dr. N Srinivas,"BDS, MDS - Orthodontics",20 Years Experience Overall  (17 years as specialist),Dentist,"LB Nagar, Hyderabad",98%,(1839 votes),₹200
Dr. Kalgi Shah,BDS,8 Years Experience Overall,Dentist,"Gachibowli, Hyderabad",100%,(16 votes),₹500
Dr. Abhijeet Patil,"MDS - Oral Medicine and Radiology, BDS",12 Years Experience Overall,Dentist,"Ravet, Pune",100%,(287 votes),₹300
Dr. L.Maniharan,"MDS - Oral Pathalogy & Microbiology, BDS",23 Years Experience Overall,Dentist,"Virugambakkam, Chennai",0,0,₹400
Dr. Sujata Pingale,BDS,18 Years Experience Overall,Dentist,"Chikhali, Pune",0,0,₹200
Dr. Raj Arya,BDS,25 Years Experience Overall,Dentist,"Dwarka, Delhi",98%,(153 votes),₹500
Dr. Asha Praveena,"BDS, MDS - Periodontics",14 Years Experience Overall  (9 years as specialist),Dentist,"Kaggadasapura, Bangalore",98%,(428 votes),₹300
Dr. Rupali Karande,BDS,18 Years Experience Overall,Dentist,"Magarpatta City, Pune",0,0,₹300
Dr. Vasavi Sravya Arveti,BDS,10 Years Experience Overall  (8 years as specialist),Dentist,"Thanisandra, Bangalore",96%,(257 votes),₹300
Dr. Aarthi Praveen,"BDS, MDS - Oral Medicine and Radiology",16 Years Experience Overall  (5 years as specialist),Dentist,"Navalur, Chennai",100%,(61 votes),₹300
Dr. Shivani Gupta,BDS,25 Years Experience Overall,Dentist,"Kilokri, Delhi",99%,(304 votes),₹1500
Dr. Mangesh Govardhan Mohod,"BDS, MDS - Oral & Maxillofacial Surgery",10 Years Experience Overall,Dentist,"Kandivali East, Mumbai",0,0,₹500
Dr. Anupam Sinha,"BDS, MDS - Orthodontics",20 Years Experience Overall  (16 years as specialist),Dentist,"Greater Kailash Part 1, Delhi",97%,(409 votes),₹750
Dr. Sonali Luthra Gandhi,BDS,11 Years Experience Overall,Dentist,"Ghatkopar East, Mumbai",100%,(54 votes),₹200
Dr. Raju Srinivas,"BDS, MDS - Conservative Dentistry & Endodontics, Diploma in Implanthology",26 Years Experience Overall  (24 years as specialist),Dentist,"Jayanagar, Bangalore",97%,(168 votes),₹500
Dr. J. Sanjeev,"BDS, MDS - Oral & Maxillofacial Surgery",17 Years Experience Overall,Dentist,"LB Nagar, Hyderabad",0,0,₹200
Dr. Deval Naik,BDS,18 Years Experience Overall,Dentist,"Goregaon West, Mumbai",99%,(493 votes),₹500
Dr. Shylesh Shetty,"BDS, MDS - Conservative Dentistry ",23 Years Experience Overall,Dentist,"Indiranagar, Bangalore",99%,(1406 votes),₹1000
Dr. P. Raja Babu,BDS,35 Years Experience Overall,Dentist,"Mehdipatnam, Hyderabad",0,0,₹200
Dr. Kruti Dholakia,BDS,14 Years Experience Overall,Dentist,"Andheri West, Mumbai",97%,(36 votes),₹500
Dr. Srinivas Gadipelly,"BDS, MDS - Oral & Maxillofacial Surgery",28 Years Experience Overall  (27 years as specialist),Dentist,"Kanchanbagh, Hyderabad",98%,(45 votes),₹500
Dr. Anjali V. Mugal,"BDS, MDS - Oral & Maxillofacial Surgery",13 Years Experience Overall,Dentist,"Kharadi, Pune",100%,(128 votes),₹300
Dr. Saravanan,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",14 Years Experience Overall  (10 years as specialist),Dentist,"Mylapore, Chennai",98%,(298 votes),₹500
Dr. Shikha Sharma,BDS,25 Years Experience Overall,Dentist,"Vasant Kunj, Delhi",98%,(243 votes),₹500
Dr. Amit Gulati,"MBBS, DDVL",15 Years Experience Overall  (9 years as specialist),Dermatologist,"Malad West, Mumbai",99%,(69 votes),₹750
Dr. Simple Aher,"MBBS, DVD",13 Years Experience Overall,Dermatologist,"Andheri West, Mumbai",0,0,₹2000
Dr. Pooja Kondadi,"MD - Dermatology , Venereology & Leprosy, MBBS",6 Years Experience Overall  (1 year as specialist),Dermatologist,"Banjara Hills, Hyderabad",0,0,₹600
Dr. Anuradha S.Patil,"MBBS, DVD",17 Years Experience Overall,Dermatologist,"Aundh, Pune",0,0,₹500
Dr. Chiranjiv Chhabra,"MBBS, MD - Dermatology , Venereology & Leprosy",26 Years Experience Overall,Dermatologist,"Panchsheel Park, Delhi",55%,(20 votes),₹2000
Dr. Bhuvanashree N,"MBBS, MD - Dermatology , Venereology & Leprosy",8 Years Experience Overall  (3 years as specialist),Dermatologist,"Adyar, Chennai",100%,(108 votes),₹700
Dr. Shekar Y N,"MBBS, DVD",36 Years Experience Overall  (33 years as specialist),Dermatologist,"Basavanagudi, Bangalore",93%,(15 votes),₹300
Dr. Madhavi Krishnarao Salunkhe,"MBBS, DVD",20 Years Experience Overall  (16 years as specialist),Dermatologist,"Shivajinagar, Pune",100%,(61 votes),₹600
Dr. Rajyalaxmi Konathan,"MBBS, MD - Skin,VD & Leprosy",28 Years Experience Overall  (23 years as specialist),Dermatologist,"Secunderabad, Hyderabad",86%,(14 votes),₹800
Dr. Vignesh Karthick,"MBBS, MD - Dermatology , Venereology & Leprosy",10 Years Experience Overall  (6 years as specialist),Dermatologist,"Aminjikarai, Chennai",88%,(17 votes),₹500
Dr. Deepali Marthineni,"DDVL, MBBS",9 Years Experience Overall  (5 years as specialist),Dermatologist,"Jubilee Hills, Hyderabad",100%,(23 votes),₹500
Dr. Suchita Dattatray Parab,"DNB - Dermatology & Venereology, MBBS",9 Years Experience Overall  (7 years as specialist),Dermatologist,"Borivali West, Mumbai",97%,(65 votes),₹500
Dr. Ramesh Vishwanath,"MBBS, MD - Dermatology",31 Years Experience Overall,Dermatologist,"Banjara Hills, Hyderabad",94%,(17 votes),₹500
Dr. Nidhi Shah,"MBBS, MD - Dermatology , Venereology & Leprosy",6 Years Experience Overall  (2 years as specialist),Dermatologist,"Marine Lines, Mumbai",100%,(33 votes),₹1250
Dr. Sandhyarani K,"MBBS, MD - Dermatology , Venereology & Leprosy",12 Years Experience Overall  (6 years as specialist),Dermatologist,"Sanjay Nagar, Bangalore",100%,(11 votes),₹500
Dr. Nidhi Rohatgi,"MBBS, DVD",27 Years Experience Overall  (24 years as specialist),Dermatologist,"Vasant Kunj, Delhi",100%,(90 votes),₹1500
Dr. Amrin Jibrail Diwan,"MBBS, DVD",10 Years Experience Overall  (3 years as specialist),Dermatologist,"Kalyani Nagar, Pune",99%,(77 votes),₹600
Dr. Sharanya Karthik,"MD - Dermatology , Venereology & Leprosy, MBBS",4 Years Experience Overall,Dermatologist,"T Nagar, Chennai",0,0,₹500
Dr. Saguna Puttoo,"MBBS, DNB - Dermatology & Venereology",24 Years Experience Overall  (14 years as specialist),Dermatologist,"Kukatpally, Hyderabad",94%,(262 votes),₹600
Dr. K Swaroopa,"MBBS, MD - Dermatology , Venereology & Leprosy",21 Years Experience Overall  (16 years as specialist),Dermatologist,"Gachibowli, Hyderabad",86%,(401 votes),₹500
Dr. Lipy Gupta,"MD - Dermatology , Venereology & Leprosy, MBBS",17 Years Experience Overall  (14 years as specialist),Dermatologist,"Green Park, Delhi",96%,(1501 votes),₹800
Dr. Abdul Samad,"MBBS, MD - Dermatology , Venereology & Leprosy, DVD",29 Years Experience Overall  (28 years as specialist),Dermatologist,"Electronics City, Bangalore",94%,(71 votes),₹550
Dr. Charulatha K S,"DNB - Dermatology, Venereology & Leprosy, DDVL, MBBS",5 Years Experience Overall  (3 years as specialist),Dermatologist,"Bannerghatta Road, Bangalore",0,0,₹400
Dr. Amey Kelkar,"MBBS, MD - Dermatology , Venereology & Leprosy",13 Years Experience Overall  (7 years as specialist),Dermatologist,"Kothrud, Pune",98%,(890 votes),₹600
Dr. Manisha Mareddy,"MBBS, MD - Dermatology , Venereology & Leprosy",6 Years Experience Overall  (1 year as specialist),Dermatologist,"Gachibowli, Hyderabad",100%,(12 votes),₹600
Dr. J.Priya,"MBBS, MD - Dermatology , Venereology & Leprosy",8 Years Experience Overall  (5 years as specialist),Dermatologist,"Porur, Chennai",0,0,₹750
Dr. Arihant Surana,"DDV, MBBS",22 Years Experience Overall  (17 years as specialist),Dermatologist,"Defence Colony, Delhi",96%,(403 votes),₹1000
Dr. Zeenat Bhalwani,"MBBS, MD - Skin & VD",21 Years Experience Overall  (17 years as specialist),Dermatologist,"Andheri West, Mumbai",99%,(468 votes),₹1500
Dr. Sudha Rani Badri,"MBBS, DDVL",15 Years Experience Overall,Dermatologist,"Kundalahalli, Bangalore",0,0,₹600
Dr. Madhavi Pudi,"MBBS, DNB - Dermatology, Venereology & Leprosy",15 Years Experience Overall  (11 years as specialist),Dermatologist,"Balkampet, Hyderabad",91%,(1635 votes),₹800
Dr. Joshika Bhandary,"MBBS, MD - Dermatology , Venereology & Leprosy",11 Years Experience Overall  (4 years as specialist),Dermatologist,"Andheri West, Mumbai",0,0,₹900
Dr. N Ashwak Ahmed,"MBBS, MD - Dermatology , Venereology & Leprosy",14 Years Experience Overall  (9 years as specialist),Dermatologist,"OMR Road, Chennai",0,0,₹700
Dr. Yogeesh H R,"MBBS, MD - Dermatology , Venereology & Leprosy",29 Years Experience Overall  (18 years as specialist),Dermatologist,"Koramangala 4 Block, Bangalore",94%,(805 votes),₹800
Dr. Poonam Tapsale,"MBBS, MD - Dermatology , Venereology & Leprosy",7 Years Experience Overall  (3 years as specialist),Dermatologist,"Shivajinagar, Pune",100%,(37 votes),₹500
Dr. Shashi Kiran A R,"MBBS, MD - Dermatology , Venereology & Leprosy",10 Years Experience Overall  (6 years as specialist),Dermatologist,"Electronics City, Bangalore",97%,(117 votes),₹550
Dr. Nitin Jain,"MBBS, DVD, FCPS - Dermatology, Venereology & Leprosy",20 Years Experience Overall  (16 years as specialist),Dermatologist,"Kothrud, Pune",97%,(1482 votes),₹700
Dr. Hina Kherajani,"MBBS, DVD",20 Years Experience Overall  (15 years as specialist),Dermatologist,"Pimple Saudagar, Pune",94%,(757 votes),₹600
Dr. Meghana Bathina,"MBBS, MD - Dermatology , Venereology & Leprosy",8 Years Experience Overall  (2 years as specialist),Dermatologist,"Secunderabad, Hyderabad",0,0,₹600
Dr. Radha Penumatsa,"MD - Dermatology , Venereology & Leprosy, MBBS",9 Years Experience Overall  (5 years as specialist),Dermatologist,"Kompally, Hyderabad",100%,(56 votes),₹500
Dr. Aryambika Krishnan,"MBBS, MD - Dermatology , Venereology & Leprosy",7 Years Experience Overall  (3 years as specialist),Dermatologist,"Yelahanka New Town, Bangalore",0,0,₹600
Dr. Altamash Zubair,"MBBS, MD - Dermatology , Venereology & Leprosy",8 Years Experience Overall  (4 years as specialist),Dermatologist,"Banjara Hills, Hyderabad",0,0,₹800
Dr. S C Rajendran,"MBBS, MD - Dermatology",43 Years Experience Overall  (36 years as specialist),Dermatologist,"Ashoknagar, Bangalore",68%,(667 votes),₹800
Dr. Sadhana Jadhavar,"MBBS, DDVL",15 Years Experience Overall  (14 years as specialist),Dermatologist,"Pimpri-Chinchwad, Pune",93%,(725 votes),₹400
Dr. Urvashi Chandra,"MBBS, MD - Skin,VD & Leprosy",16 Years Experience Overall  (11 years as specialist),Dermatologist,"Pitampura, Delhi",96%,(27 votes),₹800
Dr. Tejal Ubale,"MBBS, DDVL",7 Years Experience Overall  (5 years as specialist),Dermatologist,"Hinjewadi, Pune",81%,(16 votes),₹500
Dr. Mamta Patil,"MBBS, DDVL",8 Years Experience Overall  (7 years as specialist),Dermatologist,"Nigdi, Pune",100%,(17 votes),₹500
Dr. Akanksha Barthwal Thakre,"MBBS, DVD",11 Years Experience Overall  (6 years as specialist),Dermatologist,"Kalyani Nagar, Pune",95%,(61 votes),₹500
Dr. Sindhu Hiremath,"MD - Dermatology , Venereology & Leprosy, MBBS",3 Years Experience Overall  (1 year as specialist),Dermatologist,"Electronics City, Bangalore",0,0,₹700
Dr. Geetika Srivastava,"MBBS, MD - Dermatology , Venereology & Leprosy",10 Years Experience Overall  (6 years as specialist),Dermatologist,"Hauz Khas, Delhi",99%,(121 votes),₹1000
Dr. Praveen Rodrigues,"MBBS, MD - Dermatology",26 Years Experience Overall  (25 years as specialist),Dermatologist,"Richmond Town, Bangalore",90%,(21 votes),₹1000
Dr. Sabitha Surisetti,"MBBS, MD - Dermatology , Venereology & Leprosy",20 Years Experience Overall,Dermatologist,"Defence Colony, Delhi",0,0,₹1500
Dr. Vanishree S. V,"MBBS, DVD",13 Years Experience Overall  (6 years as specialist),Dermatologist,"Nigdi, Pune",82%,(107 votes),₹600
Dr. Shruthi B R,"MBBS, MD - Dermatology , Venereology & Leprosy",4 Years Experience Overall,Dermatologist,"Jayanagar, Bangalore",0,0,₹600
Dr. B. Haritha,"MBBS, MD - Dermatology , Venereology & Leprosy",10 Years Experience Overall  (7 years as specialist),Dermatologist,"Madhapur, Hyderabad",0,0,₹600
Dr. Aftab Mateen,"MBBS, DDVL",31 Years Experience Overall  (16 years as specialist),Dermatologist,"Anna Nagar, Chennai",92%,(13 votes),₹700
