Name,Speciality_of_doctor,Degree,Years_Of_Experience,Location,City,dp_score(percentage),npv,consultation_fee
Dr. Anup Kumar Lahari,Dermatologist,"MBBS, MD - Dermatology",38,Secunderabad, Hyderabad,86,22,600
Dr. Ritu Gupta,Dermatologist,"MBBS, MD - Dermatology",22,Surajmal Vihar, Delhi,86,320,1000
Dr. Shreyans Sankhala,Dermatologist,"MBBS, DVD",8,Koregaon Park, Pune,99,130,400
Dr. Mithali Jage,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",8,Sion, Mumbai,99,72,1000
Dr. Himabindu,Dermatologist,"MBBS, DDVL",16,Manikonda, Hyderabad,93,27,500
Dr. Manoj Srinivas,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",11,Indiranagar, Bangalore,96,24,600
Dr. Sharanya Babu K,Dermatologist,"MBBS, DDVL",13,Basavanagudi, Bangalore,96,27,600
Dr. Ramya Krishna C,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",5,Secunderabad, Hyderabad,0,0,600
Dr. Meghana Karlekar.R,Dermatologist,"MBBS, DDVL",8,Whitefield, Bangalore,0,0,600
Dr. Madhur Eshwar Rao Basude,Dermatologist,"MBBS, DDVL, CCT - Dermatology",8,Nigdi, Pune,0,0,600
Dr. Vandhana Manoharan,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",1,HRBR Layout, Bangalore,0,0,600
Dr. U Brahmaiah,Dermatologist,"MBBS, DDVL",9,Secunderabad, Hyderabad,100,37,600
Dr. Mohd Asif,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",10,Santacruz West, Mumbai,100,119,1000
Dr. Nithya Raghunath,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",13,Kalyan Nagar, Bangalore,96,4115,700
Dr. Abhishek Sharma,Dermatologist,"MD - Physician, MD - Dermatology , Venereology & Leprosy",11,South Extension 1, Delhi,100,140,1000
Dr. Anuj Saigal,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",14,Green Park, Delhi,97,155,1000
Dr. Azra Fatima N,Dermatologist,"MBBS, DDVL",10,Anna Nagar, Chennai,100,72,600
Dr. Pooja Chopra,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",15,Andheri West, Mumbai,96,80,1500
Dr. Priyanka R Kuri,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",8,Whitefield, Bangalore,100,22,700
Dr. Revanth BN,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",14,Jayanagar 3 Block, Bangalore,100,40,500
Dr. Vinay Singh,Dermatologist,"MBBS, MD - Dermatology",27,Pitampura, Delhi,92,701,1400
Dr. Karuna Soni,Dermatologist,"MBBS, Diploma in Dermatology",16,Baner, Pune,98,1204,600
Dr. Sneha Gupta Palvia,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",12,Grant Road, Mumbai,100,14,0
Dr. Yogeshree Kanase,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",12,Pimple Saudagar, Pune,96,105,600
Dr. Shiny T.N,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",13,Jayanagar, Bangalore,92,142,750
Dr. Tapesh Sharma,Dermatologist,"MBBS, Diploma in Dermatology",24,Dwarka, Delhi,97,2956,1500
Dr. Rajkumar Kannan,Dermatologist,"MBBS, DDVL, MD - Dermatology , Venereology & Leprosy",16,Adyar, Chennai,100,33,500
Dr. Vijay Nagdev,Dermatologist,"MBBS, DVD",12,Pimpri-Chinchwad, Pune,93,1606,600
Dr. Tanvi Gupta Arora,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",11,Pusa Road, Delhi,0,0,1000
Dr. Shoba S M,Dermatologist,"MBBS, DDVL",9,Seshadripuram, Bangalore,0,0,740
Dr. Akhila Joshi,Dietitian,"BNYS, MSc - Clinical Nutrition and Dietetics",13,Kaggadasapura, Bangalore,96,460,500
Ms. Silky Mahajan,Dietitian,"B.Sc. - Home Science (Food & Nutrition), M.Sc. - Home Science (Food & Nutrition)",14,JP Nagar, Bangalore,96,226,1500
Ms. Rohini Raghu,Dietitian,MSc - Dietitics / Nutrition,17,Basavanagudi, Bangalore,0,0,550
Ms. Sharanya S Shastry,Dietitian,M.Sc- Dietetics and Applied Nutrition,2,Koramangala 5 Block, Bangalore,100,12,600
Dr. Daisy Rani Rao,Dietitian,"MBBS, DO, Diploma in Dietetics & Public Health Nutrition (DDPHN)",41,Kalkere, Bangalore,88,111,550
Ms. Sushmaa Jaiswal,Dietitian,M.Sc. - Home Science (Food & Nutrition),36,Whitefield, Bangalore,93,394,2000
Ms. Sonal Sureka,Dietitian,"M.Sc- Dietetics and Applied Nutrition, BSc. - Home Science (Food Science and Nutrition)",7,Ashoknagar, Bangalore,97,39,1500
Dr. Keerthi Shree Kirisave   (PhD),Dietitian,"B.Sc.- Clinical Nutrition & Dietetics, M.Sc. - Home Science (Food & Nutrition), PhD - Yoga",13,Basaveshwaranagar, Bangalore,97,110,850
Dr. Shailja Jain (PhD)   (PhD),Dietitian,PhD - Home Science (Food and Nutrition),15,Whitefield, Bangalore,0,0,1500
Ms. Shalmali Sharma,Dietitian,"MSc - Dietitics / Nutrition, Diploma in Diet and Nutrition",19,BTM Layout 2nd Stage, Bangalore,86,44,1500
Ms. Priyanka Wincy R,Dietitian,B.Sc. - Home Science (Food & Nutrition),3,Koramangala 7 Block, Bangalore,0,0,600
Ms. Ranjitha K M,Dietitian,"BSc. - Nutrition Food Service Management and Dietetics, M.Sc. - Food and Nutrition",5,Whitefield, Bangalore,0,0,600
Dr. Geetha B,Dietitian,"Post Graduate Diploma in Applied Nutrition and Dietetics, BAMS",37,Basaveshwaranagar, Bangalore,100,28,250
Ms. Nafeesa Imteyaz,Dietitian,MSc. - Dietetics & Food Service Management,27,Indiranagar, Bangalore,98,3674,1000
Dr. K Jyothi Rao,Dietitian,"DHMS (Diploma in Homeopathic Medicine and Surgery), MSc - Clinical Nutrition and Dietetics, MSc - Psychotherapy And Counselling",30,Indiranagar, Bangalore,0,0,500
Ms. Dhanalakshmi,Dietitian,M.Sc. - Food and Nutrition,17,Kodichikkanahalli, Bangalore,100,16,750
Dr. Sharmila Shankar,Dietitian,"BAMS, Diploma in Clinical Nutrition",22,Malleswaram, Bangalore,100,95,1000
Ms. Vani Krishna,Dietitian,MSc - Clinical Nutrition and Dietetics,10,Whitefield, Bangalore,0,0,500
Mr. Vishal Kumar Wadi,Dietitian,Diploma in Clinical Nutrition,5,Rajarajeshwarinagar, Bangalore,97,33,1500
Ms. Vinny Joglekar,Dietitian,"MSc - Nutrition and Dietetics, B.Sc. - Home Science (Food & Nutrition)",41,Old Airport Road, Bangalore,99,237,600
Ms. Phebe Vinodhini,Dietitian,MSc. - Food Service Management & Dietetics,10,Koramangala 5 Block, Bangalore,100,48,500
Dr. Bharathi AV   (PhD),Dietitian,"BSc - Dietitics / Nutrition, MSc - Dietitics / Nutrition, PhD - Food Science and Nutrition ",25,Richmond Town, Bangalore,92,107,1500
Ms. Shikha Mishra,Dietitian,MSc - Food Science and Nutrition,14,Sarjapur Road, Bangalore,95,479,500
Dr. Suguna S   (PhD),Dietitian,M.Sc. - Home Science (Community Health and Nutrition),23,JP Nagar 5 Phase, Bangalore,100,109,2500
Ms. Anitha Narayanamurthy,Dietitian,Certification in Health Coaching Nutrition,8,Sanjay Nagar, Bangalore,92,13,700
Ms. Uma Trasi,Dietitian,"BSc. - Home Science, MSc - Food and Applied Nutrition",22,Malleswaram, Bangalore,0,0,650
Ms. Anwesa Hajra,Dietitian,"BSc - Dietitics / Nutrition, MSc - Applied Nutrition",9,Whitefield, Bangalore,0,0,800
Ms. Arpitha,Dietitian,MSc - Food Science and Nutrition,13,Yeshwanthpur, Bangalore,0,0,1000
Ms. Anwesha,Dietitian,"BSc - Dietitics / Nutrition, MSc - Applied Nutrition",6,Whitefield, Bangalore,0,0,800
Ms. Shazia Makhdoomi,Dietitian,M.Sc. - Home Science (Clinical Nutrition and Dietetics),13,Vasanthnagar, Bangalore,100,246,700
Ms. Praseetha,Dietitian,MSc - Food Science and Nutrition,2,Kaggadasapura, Bangalore,100,15,500
Dr. T Ramalakshmi   (PhD),Dietitian,"M.Sc. - Home Science (Food & Nutrition), PhD - Home Science (Food and Nutrition)",26,Kumaraswamy Layout, Bangalore,0,0,700
Ms. Nida Asgar Ali,Dietitian,M.Sc. - Home Science (Food & Nutrition),7,Ashoknagar, Bangalore,0,0,800
Dr. Prajna Bhandary,Dietitian,M.Sc- Dietetics and Applied Nutrition,5,Ashoknagar, Bangalore,0,0,500
Dr. Surbhi Gupta Khandelwal,Dietitian,"Diploma in Nutrition and Health Education, DEMS, BHMS",10,Wakad, Pune,99,71,350
Ms. Roma Gupta,Dietitian,M.Sc. - Home Science (Food & Nutrition),14,Kalyani Nagar, Pune,91,33,700
Ms. Avanti Deshpande,Dietitian,MSc - Dietitics / Nutrition,22,Erandwane, Pune,97,232,3000
Ms. Rupal Jasani,Dietitian,B.Sc. - Home Science (Food & Nutrition),15,Pimple Saudagar, Pune,95,136,500
Ms. Mayura Mahajani,Dietitian,"MSc. - Food Service Management & Dietetics, DNHE",9,Kothrud, Pune,0,0,1000
Ms. Anuja Dharap,Dietitian,MSc - Dietitics / Nutrition,6,Balewadi, Pune,0,0,1500
Dr. Amita D Golande,Dietitian,"BHMS, MSc - Dietitics / Nutrition",17,Sangavi, Pune,100,12,700
Dr. Deepika Gupta   (PhD),Dietitian,"M.Sc. - Food and Nutrition, BSc - Dietitics / Nutrition",16,Wakad, Pune,100,95,500
Dr. Swapnaja Kirunge,Dietitian,"BHMS, MSc. - Dietetics & Food Service Management",14,Baner Road, Pune,100,130,1800
Ms. Prachi Rege,Dietitian,MSc - Home Science (Foods Nutrition and Dietetics),20,Wakad, Pune,100,216,1750
Ms. Rekha Sachdev,Dietitian,MSc - Food Science and Nutrition,15,Kondhwa, Pune,86,21,299
Ms. Prachi Fotani,Dietitian,M.Sc. - Home Science (Food & Nutrition),14,Kharadi, Pune,100,95,800
Ms. Geeta Desai,Dietitian,"MSc - Dietitics / Nutrition, BSc - Dietitics / Nutrition",35,Aundh, Pune,97,106,1200
Ms. Preeti Singh,Dietitian,"MSc. - Nutrition Sciences, B.Sc. - Home Science (Food & Nutrition)",11,Kharadi, Pune,95,76,500
Ms. Neha Pundir,Dietitian,"Post Graduation Diploma in Dietetics, B.Sc. - Home Science (Food & Nutrition)",8,Dhanori, Pune,100,135,1000
Ms. Sneha Raje,Dietitian,B.Sc. - Home Science (Food & Nutrition),17,Dhole Patil Road, Pune,0,0,500
Ms. Shruti Maheshwary,Dietitian,MSc - Dietitics / Nutrition,12,Baner, Pune,96,80,1300
Ms. Shweta Bumb,Dietitian,BSc - Dietitics / Nutrition,18,Wanowrie, Pune,99,344,1000
Ms. Rizwana Sayed,Dietitian,Post Graduation Diploma in Dietetics,19,Viman Nagar, Pune,100,20,650
Ms. Priyanka Nahar,Dietitian,"Post Graduate Diploma in Sports Nutrition, B.Sc. - Home Science (Food & Nutrition)",12,Dhole Patil Road, Pune,0,0,1000
Ms. Janhavi Akkalkotkar,Dietitian,Post Graduate Diploma in Sports Nutrition,16,Sadashiv Peth, Pune,95,20,1000
Ms. Anuja Dani,Dietitian,MSc - Nutrition and Dietetics,4,Pimpri-Chinchwad, Pune,0,0,700
Dr. Pankaj Kumar,Dietitian,"MBBS, DNB - Family Medicine, DNHE",15,Janakpuri, Delhi,96,216,650
Ms. Bipasha Das,Dietitian,MSc - Dietitics / Nutrition,14,CR Park, Delhi,99,69,1400
Ms. Shweta,Dietitian,"Diploma in Nutrition and Health Education, Diploma in Diet and Nutrition, Diploma in Diet and Nutrition",14,Punjabi Bagh, Delhi,99,1561,1500
Dr. Sugeeta Mutreja,Dietitian,"BAMS, DNHE",22,Dwarka, Delhi,99,282,1000
Dr. Praveen Rustagi,Dietitian,"BAMS, DNHE",26,Malviya Nagar, Delhi,96,107,500
Ms. Neha Agarwal,Dietitian,M.Sc. - Home Science (Food & Nutrition),19,Subhash Nagar, Delhi,96,236,500
Dr. Anjana Kalia,Dietitian,"BAMS, Fellowship in Applied Nutrition(FAN)",21,Dwarka, Delhi,99,141,1000
Ms. Padma Singh,Dietitian,M.Sc. - Food and Nutrition,18,Rohini, Delhi,95,93,300
Mr. Himanshu Rai,Dietitian,MSc. - Nutrition Sciences,15,Defence Colony, Delhi,99,141,800
Ms. Raminder Kaur Deshmukh,Dietitian,Diploma in Dietetics & Public Health Nutrition (DDPHN),31,Rajouri Garden, Delhi,99,486,3500
Ms. Rashmi Srivastava,Dietitian,M.Sc. - Home Science (Food & Nutrition),48,Malviya Nagar, Delhi,100,19,1000
Ms. Rashima Chhabra,Dietitian,MSc - Food Science and Nutrition,13,Rohini Sector 7, Delhi,97,64,800
Ms. Sharvi Rastogi,Dietitian,M.Sc. - Home Science (Food & Nutrition),11,Greater Kailash Part 1, Delhi,100,27,1500
Ms. Dietician Nisha Malhotra,Dietitian,Diploma in Dietetics & Public Health Nutrition (DDPHN),39,Rohini, Delhi,82,33,2500
Ms. Avni Kaul,Dietitian,"BSc - Dietitics / Nutrition, M.Sc. - Food and Nutrition",10,Saket, Delhi,97,39,4000
Ms. Nidhi Sawhney,Dietitian,PGD in Nutrition and Dietetics,5,Gulmohar Park, Delhi,99,808,1500
Ms. Priyanka Jaiswal,Dietitian,"MSc - Nutrition and Dietetics, BSc. - Home Science",11,Maharani Bagh, Delhi,96,114,450
Ms. Neeru Dawra,Dietitian,Diploma in Diet and Nutrition,6,Rohini Sector 11, Delhi,88,17,300
Ms. Dt Priya Mittal,Dietitian,"Diploma in Dietetics, Health and Nutrition (DDHN)",5,Greater Kailash Part 1, Delhi,97,74,1000
Ms. Monisha Ashokan,Dietitian,DNHE,8,Greater Kailash, Delhi,97,62,2000
Ms. Ekta-Jain,Dietitian,BSc - Dietitics / Nutrition,16,Vigyan Vihar, Delhi,98,422,1000
Ms. Ritu Arora,Dietitian,"Diploma in Diet and Nutrition, BSc - Dietitics / Nutrition",6,Paschim Vihar, Delhi,100,11,1000
Ms. Nupur Jain,Dietitian,M.Sc. - Food and Nutrition,5,Rana Pratap Bagh, Delhi,0,0,850
Ms. Sweety Bhatt,Dietitian,MSc - Nutrition and Dietetics,5,Old Rajendra Nagar, Delhi,0,0,1000
Ms. Dt. Shilpa Chawla,Dietitian,"MSc - Dietitics / Nutrition, BSc. - Home Science",20,Pitampura, Delhi,99,227,1000
Ms. Pallavi Larecha,Dietitian,Post Graduation Diploma in Dietetics and Public Health Nutrition,12,Shalimar Bagh, Delhi,92,37,450
Ms. Shilpa Thakur,Dietitian,"MSc - Food and Applied Nutrition, Diploma in Diet and Nutrition",26,Greater Kailash Part 1, Delhi,0,0,500
Ms. Mansi Nigam,Dietitian,MSc - Nutrition and Dietetics,4,Saket, Delhi,95,43,500
Ms. Monica Kapur,Dietitian,Certificate in Food and Nutrition,10,Pitampura, Delhi,100,42,1000
Ms. Umang Behl,Dietitian,Post Graduation Diploma in Dietetics and Public Health Nutrition,7,Shalimar Bagh, Delhi,97,67,450
Dr. Shalini Singhal   (PhD),Dietitian,"PhD - Clinical Nutrition, MSc - Dietitics / Nutrition",26,Dwarka Sector 12, Delhi,97,303,1600
Ms. Monika Arora,Dietitian,Post Graduate Diploma in Applied Nutrition and Dietetics,19,Karkardooma, Delhi,100,12,700
Ms. Diksha Gulati,Dietitian,"DNHE, Diploma in Dietetics, Health and Nutrition (DDHN), Post Graduation Diploma in Dietetics and Public Health Nutrition",7,Gujranwala Town, Delhi,100,24,500
Ms. Khushboo Sharma,Dietitian,M.Sc. - Home Science (Food & Nutrition),6,Subhash Nagar, Delhi,0,0,2000
Ms. Swarn Shikha Sharma,Dietitian,Post Graduation Diploma in Dietetics,16,Greater Kailash Part 1, Delhi,0,0,300
Ms. Sakshi Kohli,Dietitian,BSc - Dietitics / Nutrition,12,Paschim Vihar, Delhi,97,33,1500
Ms. Divya Narang,Dietitian,Diploma in Dietetics & Public Health Nutrition (DDPHN),16,Vikas Puri, Delhi,94,16,700
Ms. Divya Gandhi,Dietitian,Diploma in Nutrition and Health Education,8,Ashok Vihar, Delhi,96,2130,1000
Ms. Somya Jain,Dietitian,M.Sc. - Home Science (Food & Nutrition),7,Shalimar Bagh, Delhi,0,0,300
Ms. Swati Srivastava,Dietitian,"Diploma in Dietetics & Weight Management, PG Diploma in Preventive & Applied Nutrition",14,Lajpat Nagar 4, Delhi,0,0,1000
Ms. Shalu Ahuja,Dietitian,"Diploma in Dietetics, Health and Nutrition (DDHN)",6,Shalimar Bagh, Delhi,100,91,1000
Ms. Priya Arya,Dietitian,MSc. - Dietetics & Food Service Management,4,Chattarpur, Delhi,0,0,800
Ms. Gomathy Gowthaman,Dietitian,BSc. - Nutrition Food Service Management and Dietetics,33,Anna Nagar East, Chennai,92,455,750
Ms. Sangeetha Jayakumar,Dietitian,MPhil. - Food Service Management and Dietetics,12,Nanganallur, Chennai,100,21,600
Dr. Anju Soni   (PhD),Dietitian,"PhD - Psychology, Post Graduate Diploma in Psychological Counseling, Fellowship in Applied Nutrition(FAN)",9,Choolai, Chennai,100,71,1300
Ms. Jayavani.J,Dietitian,"MSc. - Dietetics & Food Service Management, BSc. - Nutrition Food Service Management and Dietetics",25,Anna Nagar, Chennai,0,0,700
Ms. Shail Yadav,Dietitian,M.Sc. - Home Science (Food & Nutrition),14,OMR Road, Chennai,0,0,1000
Ms. V.Geetha,Dietitian,MSc. - Food Service Management & Dietetics,16,Medavakkam, Chennai,0,0,1000
Ms. Roshni S.V,Dietitian,"B.Sc.- Clinical Nutrition & Dietetics, M.Sc - Clinical Nutrition",7,Ashok Nagar, Chennai,96,23,500
Ms. Muthulakshmi,Dietitian,Diploma in Clinical Nutrition,18,KK Nagar, Chennai,91,11,2000
Dr. Reena Jain   (PhD),Dietitian,"PhD - Yoga, Post Graduate Diploma in Clinical Nutrition & Dietetics",7,Purasawakkam, Chennai,0,0,800
Ms. Geetanjali,Dietitian,"Post Graduate Diploma in Dietetics and Hospital Food Service, MSc. - Dietetics & Food Service Management, BSc. - Home Science (Applied Nutrition)",18,Bandra West, Mumbai,99,70,1500
Dr. Asmita Sawe,Dietitian,"BHMS, Post Graduation Diploma in Dietetics and Public Health Nutrition",15,Vileparle East, Mumbai,97,191,1500
Ms. Geeta Shenoy,Dietitian,"BSc - Dietitics / Nutrition, Post Graduation Diploma in Dietetics",32,Chembur East, Mumbai,98,253,2000
Ms. Smita Nanda R D,Dietitian,PGD ND,16,Kandivali East, Mumbai,97,299,1200
Ms. Hetal Dharod,Dietitian,M.Sc. - Home Science (Food & Nutrition),22,Kandivali West, Mumbai,94,31,1000
Ms. Himani Mittal,Dietitian,BSc - Applied Nutrition,19,Andheri West, Mumbai,100,30,1200
Ms. Aarti,Dietitian,BSc. - Home Science (Dietetics),9,Andheri East, Mumbai,91,152,500
Ms. Jennifer Dhuri,Dietitian,PG Diploma in Dietitics and Hospital Food Service,24,Powai, Mumbai,98,54,2500
Ms. Twinkle Haria,Dietitian,Post Graduate Diploma in Clinical Nutrition & Dietetics,12,Mulund West, Mumbai,99,87,1800
Ms. Nikita Lawande,Dietitian,Post Graduate Diploma in Applied Nutrition and Dietetics,0,Powai, Mumbai,0,0,350
Ms. Mukta Tolani,Dietitian,"Diploma in Dietetics, Health and Nutrition (DDHN)",8,Kandivali West, Mumbai,96,28,1000
Ms. Sajida Shaikh,Dietitian,Diploma in Diet and Nutrition,4,Mira Road, Mumbai,98,91,1000
Ms. Sofia Ansari,Dietitian,"M.Sc. - Home Science (Clinical Nutrition and Dietetics), B.Sc. - Home Science (Food & Nutrition)",5,Cuffe Parade, Mumbai,0,0,350
Dr. Pratibha Singhal,Dietitian,"BHMS, Diploma in Diet and Nutrition",17,Kandivali East, Mumbai,99,84,800
Ms. Nisha Singh,Dietitian,"BSc - Dietitics / Nutrition, Post Graduate Diploma in Sports Nutrition",22,Powai, Mumbai,99,77,1200
Ms. Bina Bhavanji Chheda,Dietitian,Diploma in Diet and Nutrition,27,Borivali West, Mumbai,97,112,2000
Ms. Mitalee Doshi,Dietitian,Post Graduate In Food Science And Nutrition,14,Mulund West, Mumbai,98,95,800
Ms. Ushma Haria,Dietitian,"Post Graduation Diploma in Dietetics, Masters in Dietetics and Food Service Management",13,Chembur East, Mumbai,0,0,500
Ms. Khusboo Maheshwari,Dietitian,MSc - Clinical Nutrition and Dietetics,8,Mira Bhayandar, Mumbai,99,102,1000
Ms. Neha Ranglani,Dietitian,B.Sc. - Home Science (Food & Nutrition),13,Bandra West, Mumbai,96,219,2500
Ms. Apeksha Thakkar,Dietitian,Post Graduate Diploma in Sports Nutrition,16,Mulund West, Mumbai,100,11,1500
Ms. Meghna Parekh Sheth,Dietitian,Post Graduation Diploma in Dietetics,25,Kandivali West, Mumbai,95,124,500
Dr. Zubeda Tumbi   (PhD),Dietitian,"Ph.D - Home Science (Food Science and Nutrition), M.Sc. - Home Science (Food & Nutrition)",33,Andheri West, Mumbai,96,1006,1000
Ms. Ritu Agarwal,Dietitian,BSc. - Home Science (Applied Nutrition),19,Andheri West, Mumbai,100,17,0
Ms. Sharmila Vyas,Dietitian,BSc. - Home Science (Food Science and Nutrition),12,Girgaon, Mumbai,100,31,500
Ms. Richa Doshi,Dietitian,"BSc. - Home Science (Applied Nutrition), Post Graduate Diploma in Clinical Nutrition & Dietetics",12,Kandivali West, Mumbai,98,165,800
Ms. Ankita Shah,Dietitian,Post Graduate Diploma in Applied Nutrition and Dietetics,17,Lower Parel, Mumbai,100,17,1200
Ms. Rajni Chetan,Dietitian,MSc. - Dietetics & Food Service Management,45,Borivali West, Mumbai,0,0,750
Ms. Dt Ruchita Maheshwari,Dietitian,Post Graduate In Food Science And Nutrition,9,Andheri East, Mumbai,93,30,700
Ms. Shweta Uchil,Dietitian,Post Graduation Diploma in Dietetics,23,Kandivali West, Mumbai,93,15,0
Ms. Kamna Bhandari,Dietitian,"Post Graduation Diploma in Dietetics, B.Sc. - Home Science (Food & Nutrition)",24,Khar West, Mumbai,99,157,2200
Ms. Kanchan Patwardhan,Dietitian,MSc - Dietitics / Nutrition,25,Kurla East, Mumbai,98,162,2000
Ms. Richa Anand,Dietitian,Post Graduate Diploma in Applied Nutrition and Dietetics,22,Powai, Mumbai,0,0,900
Ms. Urvi Vakharia,Dietitian,Diploma in Diet and Nutrition,17,Mulund West, Mumbai,99,308,250
Ms. Malika Kabra Rathi,Dietitian,MSc - Clinical Nutrition and Dietetics,15,Lokhandwala, Mumbai,99,82,3000
Ms. Bhumika Khushalani,Dietitian,"Post Graduate Diploma in Clinical Nutrition & Dietetics, BSc. - Home Science (Dietetics)",15,Chembur East, Mumbai,100,40,1500
Ms. Pallavi Srivastava,Dietitian,P.G in Sports Science Fitness & Nutrition,13,Andheri West, Mumbai,0,0,1500
Ms. Pushpa Ladsariya,Dietitian,BSc - Dietitics / Nutrition,17,Worli, Mumbai,99,161,1500
Ms. Gurpreet Kaur Chhabra,Dietitian,"PG Diploma in Dietitics and Hospital Food Service, BSc. - Home Science",21,Kandivali East, Mumbai,100,22,1000
Ms. Venu Adhiya Hirani,Dietitian,"BSc. - Home Science (Food Science and Nutrition), P.G Diploma in Sports Science & Nutrition",28,Andheri West, Mumbai,0,0,1000
Ms. Deepa Nandy,Dietitian,Post Graduate Diploma in Sports Nutrition,15,Andheri West, Mumbai,100,290,2500
Ms. Khushboo Jain Tibrewala,Dietitian,"P.G in Sports Science Fitness & Nutrition, BSc. - Home Science (Applied Nutrition)",13,Juhu, Mumbai,96,23,2500
Ms. Pradnya Padhye,Dietitian,"M.Sc. - Home Science (Food & Nutrition), B.Sc. - Home Science (Food & Nutrition)",21,Powai, Mumbai,100,203,1500
Ms. Mansi Padechia,Dietitian,Post Graduate In Food Science And Nutrition,12,Tardeo, Mumbai,100,228,2000
Dr. Dr Pooja Sharma   (PhD),Dietitian,"PhD - Gastro & Human Nutrition Unit, M.Sc. - Home Science (Food & Nutrition)",18,Powai, Mumbai,97,36,1500
Ms. Radhika Gawade,Dietitian,BSc. - Home Science (Dietetics),19,Bandra, Mumbai,0,0,0
Ms. Chaitali Shah,Dietitian,"B.Sc. - Home Science (Food & Nutrition), Diploma In Naturopathy (ND)",25,Borivali West, Mumbai,0,0,600
Ms. Sonal Bhosale,Dietitian,B.Sc. - Home Science (Food & Nutrition),15,Kandivali West, Mumbai,0,0,0
Ms. Bansi Mehta,Dietitian,P.G in Sports Science Fitness & Nutrition,8,Khar West, Mumbai,0,0,600
Ms. Rokayya Ara,Dietitian,BSc - Dietitics / Nutrition,10,Andheri West, Mumbai,0,0,0
Dr. Ritu Jain,Dietitian,"BNYS, BSc - Dietitics / Nutrition, ND/NMD(Doctor of Naturopathy And Natural Medicine), Diploma in Acupuncture",21,Andheri West, Mumbai,0,0,1000
Ms. Shruti Kainya,Dietitian,Post Graduate Diploma in Sports Nutrition,4,Worli, Mumbai,0,0,2500
Ms. Kirti Muthal,Dietitian,"Diploma in Dietetics, Health and Nutrition (DDHN)",7,Borivali West, Mumbai,0,0,2000
Ms. Jyoti Chabria,Dietitian,B.Sc. - Home Science (Food & Nutrition),32,Banjara Hills, Hyderabad,85,62,1000
Mr. Jagdish,Dietitian,DNHE,4,Manikonda, Hyderabad,0,0,800
